# SCM estimates of absolute mRNA and protein levels, scaled to (average) molecules per haploid cell, for haploid budding yeast (S.cerevisiae) growing exponentially in rich medium with glucose 
#
# Generated Tue Apr 07 00:00:36 2015 
#
# Citation:
#   "Accounting for experimental noise reveals that transcript levels,
#   amplified by post-transcriptional regulation, largely determine steady-state protein levels in yeast,"
#   Gábor Csárdi, Alexander Franks, David S. Choi, Eduardo M. Airoldi, and D. Allan Drummond, PLoS Genetics, 2015
#
# orf = Systematic yeast ORF (open reading frame) identifier
# gene = Common gene name
# mrna = Messenger RNA level
# prot = Protein level
# sd.mrna = Standard deviation on estimates of log-transformed mRNA levels (mRNA lower bound = exp(log(mrna)-sd.mrna)), mRNA upper bound = exp(log(mrna)+sd.mrna)))
# sd.prot = Standard deviation on estimates of log-transformed protein levels (protein lower bound = exp(log(prot)-sd.prot)), protein upper bound = exp(log(prot)+sd.prot)))
# n.mrna = Number of mRNA-level measurements
# n.prot = Number of protein-level measurements
orf	gene	mrna	prot	sd.mrna	sd.prot	n.mrna	n.prot
YDR237W	MRPL7	3.4290	637.388	0.283	0.365	11	2
YDR238C	SEC26	6.4874	13146.285	0.263	0.216	11	9
YDR239C		2.0789	604.280	0.278	0.235	11	4
YDR240C	SNU56	1.6223	283.897	0.304	0.304	10	4
YDR242W	AMD2	1.5566	209.632	0.271	0.366	12	1
YDR243C	PRP28	1.7322	324.047	0.269	0.365	10	4
YDR244W	PEX5	2.7057	1175.079	0.259	0.223	10	5
YDR245W	MNN10	7.5655	3227.963	0.246	0.219	13	4
YDR246W	TRS23	3.3865	1883.588	0.232	0.226	11	4
YDR246W-A		0.1974	10.557	0.370	0.462	3	0
YDR247W	VHS1	2.5926	961.609	0.280	0.234	13	4
YDR248C		2.8915	637.954	0.252	0.317	12	3
YDR249C		1.4997	157.069	0.271	0.383	11	0
YDR251W	PAM1	4.2247	785.074	0.266	0.251	12	5
YDR252W	BTT1	2.0391	868.866	0.255	0.220	10	4
YDR253C	MET32	1.6672	241.397	0.239	0.350	12	1
YDR254W	CHL4	1.4345	299.130	0.266	0.339	10	2
YDR255C	RMD5	1.3360	238.763	0.287	0.356	10	2
YDR256C	CTA1	0.9182	167.080	0.296	0.339	8	1
YDR257C	RKM4	3.3128	2031.093	0.212	0.202	11	5
YDR258C	HSP78	5.8485	4251.909	0.233	0.238	13	9
YDR259C	YAP6	1.6738	423.842	0.255	0.304	11	1
YDR260C	SWM1	1.8524	197.185	0.252	0.416	12	0
YDR261C	EXG2	4.7944	1585.950	0.280	0.274	12	4
YDR261C-C		NA	NA	NA	NA	0	0
YDR261C-D		0.1669	8.537	0.360	0.445	1	0
YDR261W-A		NA	NA	NA	NA	0	0
YDR261W-B		0.2408	12.459	0.338	0.425	1	0
YDR262W		5.3541	2227.780	0.268	0.230	12	6
YDR263C	DIN7	1.1636	121.841	0.312	0.424	11	0
YDR264C	AKR1	6.6322	4260.479	0.260	0.235	13	5
YDR265W	PEX10	2.7818	386.366	0.245	0.371	11	1
YDR266C	HEL2	4.5352	2145.805	0.294	0.222	12	6
YDR267C	CIA1	4.3189	1272.580	0.281	0.300	13	3
YDR268W	MSW1	2.2766	644.644	0.250	0.312	12	4
YDR270W	CCC2	1.6969	496.938	0.274	0.250	8	1
YDR272W	GLO2	8.7649	6957.285	0.245	0.228	13	7
YDR273W	DON1	1.3298	152.258	0.259	0.354	11	0
YDR275W	BSC2	2.8929	552.280	0.243	0.317	13	1
YDR276C	PMP3	24.0611	3434.351	0.286	0.332	11	0
YDR277C	MTH1	2.1193	265.014	0.279	0.362	11	1
YDR279W	RNH202	2.8061	902.590	0.280	0.320	11	4
YDR280W	RRP45	6.5342	3956.201	0.259	0.209	13	5
YDR281C	PHM6	2.5553	280.798	0.279	0.391	10	0
YDR282C		1.7939	271.547	0.269	0.331	12	3
YDR283C	GCN2	1.8574	395.603	0.227	0.285	11	5
YDR284C	DPP1	5.4698	1613.312	0.241	0.283	13	3
YDR285W	ZIP1	1.0786	253.556	0.253	0.262	11	3
YDR286C		1.4620	230.592	0.300	0.342	9	2
YDR287W	INM2	1.6496	317.561	0.291	0.380	11	3
YDR288W	NSE3	2.6487	768.076	0.244	0.327	12	2
YDR289C	RTT103	3.2262	1319.850	0.276	0.297	11	4
YDR291W	HRQ1	1.6014	233.204	0.276	0.323	12	4
YDR292C	SRP101	5.0772	1702.643	0.263	0.321	12	5
YDR293C	SSD1	6.3201	4518.371	0.241	0.243	13	7
YDR294C	DPL1	6.5524	4811.491	0.284	0.226	13	6
YDR295C	HDA2	1.9346	773.502	0.291	0.271	12	4
YDR296W	MHR1	3.9225	2564.142	0.279	0.233	9	4
YDR297W	SUR2	12.8615	14248.294	0.272	0.238	13	5
YDR298C	ATP5	14.0612	20044.962	0.265	0.238	12	8
YDR299W	BFR2	5.6570	5966.585	0.224	0.267	12	8
YDR300C	PRO1	5.1508	6600.722	0.210	0.205	12	8
YDR301W	CFT1	2.2037	675.489	0.251	0.241	12	4
YDR302W	GPI11	4.5899	2851.055	0.228	0.246	13	3
YDR303C	RSC3	4.3457	3087.708	0.277	0.235	13	7
YDR304C	CPR5	12.7348	4456.299	0.317	0.291	12	7
YDR305C	HNT2	2.8136	1029.268	0.235	0.282	12	4
YDR306C		2.5229	505.317	0.277	0.381	13	3
YDR307W	PMT7	3.0881	1159.090	0.269	0.267	13	4
YDR308C	SRB7	3.1208	851.787	0.267	0.325	12	3
YDR309C	GIC2	5.7747	1415.026	0.292	0.253	12	3
YDR310C	SUM1	2.6407	434.669	0.267	0.316	11	5
YDR311W	TFB1	3.0101	1463.281	0.263	0.240	11	5
YDR312W	SSF2	4.0246	1471.624	0.258	0.247	12	4
YDR313C	PIB1	1.8068	452.472	0.288	0.216	11	3
YDR314C	RAD34	0.6603	64.359	0.300	0.334	9	2
YDR315C	IPK1	1.1729	118.275	0.262	0.377	12	0
YDR316W	OMS1	1.8088	439.249	0.255	0.314	11	3
YDR316W-A		NA	NA	NA	NA	0	0
YDR316W-B		0.2970	18.238	0.373	0.484	1	0
YDR317W	HIM1	0.6376	52.681	0.293	0.445	10	0
YDR318W	MCM21	1.7826	426.357	0.292	0.356	10	2
YDR319C	YFT2	1.7907	178.336	0.299	0.371	12	0
YDR320C	SWA2	2.6091	1352.028	0.238	0.269	12	8
YDR320C-A	DAD4	2.1785	919.447	0.234	0.260	6	2
YDR321W	ASP1	7.9265	2451.617	0.332	0.388	12	4
YDR322C-A	TIM11	4.7321	1935.311	0.266	0.236	8	5
YDR322W	MRPL35	4.9533	3338.640	0.274	0.216	12	6
YDR323C	PEP7	1.3652	305.913	0.241	0.333	11	3
YDR324C	UTP4	4.7651	3072.023	0.234	0.241	11	5
YDR325W	YCG1	1.6381	608.878	0.270	0.307	10	4
YDR326C	YSP2	2.7226	568.099	0.264	0.327	11	2
YDR328C	SKP1	10.6189	5830.849	0.266	0.255	11	5
YDR329C	PEX3	3.9288	1307.604	0.276	0.260	13	4
YDR330W	UBX5	2.8722	1828.341	0.247	0.230	11	4
YDR331W	GPI8	3.5771	1790.297	0.263	0.221	11	3
YDR332W	IRC3	1.1852	168.237	0.274	0.317	11	1
YDR333C	RQC1	3.1816	707.804	0.243	0.305	12	5
YDR334W	SWR1	1.9877	444.686	0.284	0.295	10	4
YDR335W	MSN5	4.8784	2700.114	0.253	0.232	12	6
YDR336W		1.2683	131.872	0.259	0.376	11	0
YDR337W	MRPS28	3.1230	1413.076	0.235	0.254	12	5
YDR338C		1.3491	173.107	0.219	0.285	12	1
YDR339C	FCF1	5.6286	977.591	0.258	0.364	13	1
YDR341C		14.3341	10942.448	0.255	0.325	12	8
YDR342C	HXT7	9.0886	3856.328	0.260	0.275	10	4
YDR343C	HXT6	8.6516	11710.927	0.294	0.281	8	3
YDR345C	HXT3	26.3198	39223.316	0.284	0.210	13	7
YDR346C	SVF1	14.4573	18326.438	0.250	0.218	13	8
YDR347W	MRP1	6.3312	3487.847	0.263	0.219	13	6
YDR348C	PAL1	4.2352	1184.299	0.232	0.277	13	4
YDR349C	YPS7	4.1170	632.369	0.246	0.249	13	2
YDR350C	ATP22	2.0447	258.550	0.267	0.360	13	0
YDR351W	SBE2	2.0784	340.376	0.276	0.344	11	3
YDR352W	YPQ2	3.0603	2106.537	0.240	0.220	12	3
YDR353W	TRR1	35.6107	62030.698	0.240	0.238	13	7
YDR354W	TRP4	4.5246	2266.401	0.255	0.249	12	8
YDR356W	SPC110	1.5427	394.664	0.254	0.302	11	3
YDR357C	CNL1	3.6849	658.927	0.284	0.337	12	3
YDR358W	GGA1	2.2652	951.430	0.252	0.245	12	7
YDR359C	EAF1	1.6954	332.745	0.257	0.379	11	5
YDR361C	BCP1	8.3679	5584.529	0.247	0.233	12	6
YDR362C	TFC6	1.8807	453.941	0.239	0.320	13	3
YDR363W	ESC2	1.7608	604.550	0.268	0.311	11	3
YDR363W-A	SEM1	13.1543	11430.482	0.255	0.206	9	7
YDR364C	CDC40	2.7104	1368.017	0.245	0.234	11	4
YDR365C	ESF1	6.8924	3367.499	0.270	0.217	11	6
YDR365W-A		NA	NA	NA	NA	0	0
YDR365W-B		0.1836	11.980	0.408	0.526	1	1
YDR366C		1.4066	173.495	0.301	0.401	9	0
YDR367W	KEI1	4.0784	2411.767	0.228	0.234	11	4
YDR368W	YPR1	10.3019	8828.347	0.237	0.219	12	8
YDR369C	XRS2	1.0417	195.544	0.289	0.300	11	3
YDR370C	DXO1	2.5994	497.194	0.258	0.298	10	2
YDR371W	CTS2	2.5797	811.792	0.300	0.275	12	3
YDR372C	VPS74	7.3100	3552.211	0.249	0.235	12	6
YDR373W	FRQ1	4.5810	2670.675	0.255	0.205	11	4
YDR374C	PHO92	0.2803	17.403	0.336	0.450	8	0
YDR374W-A	WIP1	0.4782	33.024	0.285	0.401	4	0
YDR375C	BCS1	2.2420	684.317	0.305	0.327	12	3
YDR376W	ARH1	3.6497	1115.521	0.262	0.269	13	3
YDR377W	ATP17	9.5175	5945.196	0.270	0.226	12	6
YDR378C	LSM6	6.5604	1655.371	0.243	0.365	12	6
YDR379C-A	SDH6	1.3331	351.894	0.255	0.315	5	3
YDR379W	RGA2	1.8239	557.494	0.281	0.282	9	4
YDR380W	ARO10	3.3787	1717.829	0.240	0.225	11	7
YDR381C-A		0.9661	148.829	0.295	0.382	5	2
YDR381W	YRA1	17.2728	35335.561	0.266	0.271	12	7
YDR382W	RPP2B	86.5058	199305.865	0.227	0.192	12	9
YDR383C	NKP1	2.6082	518.429	0.291	0.353	11	2
YDR384C	ATO3	6.6084	2432.695	0.251	0.280	13	4
YDR385W	EFT2	33.9762	89990.209	0.240	0.256	10	6
YDR386W	MUS81	1.0224	182.648	0.298	0.345	10	2
YDR387C		1.7843	196.704	0.265	0.349	11	0
YDR388W	RVS167	11.9364	9898.310	0.259	0.243	12	8
YDR389W	SAC7	3.7161	1358.681	0.261	0.227	12	4
YDR390C	UBA2	4.9002	2845.148	0.208	0.220	13	5
YDR391C		3.9315	1986.394	0.238	0.216	13	6
YDR392W	SPT3	3.3520	875.324	0.271	0.301	13	3
YDR393W	SHE9	1.6605	244.709	0.299	0.315	9	2
YDR394W	RPT3	9.0430	3588.687	0.263	0.241	13	7
YDR395W	SXM1	8.4456	8298.944	0.274	0.258	12	8
YDR397C	NCB2	6.1757	3809.292	0.233	0.228	11	5
YDR398W	UTP5	7.8632	7920.827	0.257	0.203	13	6
YDR399W	HPT1	16.5358	22886.812	0.271	0.243	11	8
YDR400W	URH1	3.4536	1172.120	0.268	0.271	12	3
YDR402C	DIT2	0.3718	27.464	0.309	0.417	8	0
YDR403W	DIT1	0.6205	53.731	0.263	0.457	10	0
YDR404C	RPB7	7.8374	6178.157	0.235	0.239	12	5
YDR405W	MRP20	3.3551	1512.308	0.261	0.222	11	5
YDR406W	PDR15	1.9784	373.966	0.266	0.346	9	4
YDR407C	TRS120	2.9777	580.127	0.268	0.287	11	6
YDR408C	ADE8	9.2014	5866.520	0.216	0.247	13	6
YDR409W	SIZ1	1.5667	195.372	0.250	0.310	13	3
YDR410C	STE14	5.0260	1474.526	0.258	0.196	13	3
YDR411C	DFM1	5.7885	1537.679	0.269	0.270	13	4
YDR412W	RRP17	4.6070	2298.891	0.282	0.255	9	5
YDR414C	ERD1	2.3605	244.447	0.300	0.414	11	0
YDR415C		2.1050	246.625	0.332	0.387	13	0
YDR416W	SYF1	1.8166	604.060	0.259	0.300	10	3
YDR418W	RPL12B	77.3959	94106.610	0.277	0.234	13	4
YDR419W	RAD30	1.5920	497.503	0.269	0.279	10	3
YDR420W	HKR1	2.3470	307.722	0.286	0.374	11	0
YDR421W	ARO80	1.4399	239.762	0.266	0.334	11	2
YDR422C	SIP1	2.4832	570.722	0.249	0.311	12	2
YDR423C	CAD1	2.5141	476.421	0.251	0.309	12	3
YDR424C	DYN2	5.3066	1663.912	0.243	0.277	12	5
YDR425W	SNX41	1.9171	558.798	0.285	0.297	10	2
YDR427W	RPN9	16.2804	16771.146	0.217	0.221	12	8
YDR428C	BNA7	1.7025	272.610	0.270	0.353	9	2
YDR429C	TIF35	15.4092	5128.008	0.266	0.325	13	6
YDR430C	CYM1	2.9859	2162.969	0.249	0.247	11	6
YDR432W	NPL3	20.1514	43394.284	0.238	0.229	12	8
YDR434W	GPI17	5.6087	3295.977	0.243	0.252	12	4
YDR435C	PPM1	2.8923	456.469	0.257	0.343	12	2
YDR436W	PPZ2	1.6689	280.044	0.263	0.282	11	4
YDR437W	GPI19	1.2046	246.480	0.245	0.320	9	1
YDR438W	THI74	1.5004	166.068	0.259	0.415	12	0
YDR439W	LRS4	1.9341	599.370	0.268	0.260	11	3
YDR440W	DOT1	2.1299	742.769	0.249	0.334	10	4
YDR441C	APT2	4.3034	1263.298	0.276	0.247	12	3
YDR443C	SSN2	1.5387	272.619	0.297	0.379	9	3
YDR444W		2.0508	589.264	0.274	0.267	10	4
YDR446W	ECM11	0.5154	43.727	0.326	0.371	9	0
YDR447C	RPS17B	55.0849	52680.080	0.233	0.231	13	3
YDR448W	ADA2	2.6558	1039.126	0.268	0.262	10	4
YDR449C	UTP6	5.6602	4457.685	0.249	0.244	11	6
YDR450W	RPS18A	37.6742	15774.630	0.224	0.228	12	5
YDR451C	YHP1	2.8982	460.066	0.273	0.389	12	1
YDR452W	PPN1	7.1162	1399.660	0.274	0.298	13	3
YDR453C	TSA2	3.2442	2295.071	0.270	0.249	13	7
YDR454C	GUK1	21.3825	23339.374	0.250	0.206	12	9
YDR456W	NHX1	4.2022	1317.452	0.262	0.234	13	3
YDR457W	TOM1	4.0539	789.354	0.265	0.282	13	7
YDR458C	HEH2	2.6222	883.457	0.255	0.265	12	6
YDR459C	PFA5	2.8256	344.319	0.259	0.341	13	0
YDR460W	TFB3	2.6478	1039.535	0.265	0.229	12	4
YDR461C-A		0.3783	25.322	0.353	0.444	4	0
YDR461W	MFA1	18.5106	17591.117	0.272	0.209	11	2
YDR462W	MRPL28	4.9554	2620.760	0.270	0.202	13	4
YDR463W	STP1	3.3780	729.588	0.247	0.310	12	3
YDR464W	SPP41	2.4951	485.816	0.290	0.334	12	5
YDR465C	RMT2	4.3849	2369.018	0.237	0.206	10	5
YDR466W	PKH3	1.8995	257.569	0.244	0.396	10	2
YDR468C	TLG1	3.8718	829.484	0.274	0.338	12	3
YDR469W	SDC1	2.6101	665.866	0.276	0.280	11	3
YDR470C	UGO1	1.6926	294.170	0.278	0.371	12	2
YDR471W	RPL27B	36.0378	35591.271	0.232	0.229	12	5
YDR472W	TRS31	4.0053	2407.484	0.266	0.245	10	5
YDR473C	PRP3	1.7449	351.876	0.256	0.283	10	3
YDR475C	JIP4	1.6125	300.866	0.316	0.402	9	2
YDR476C		4.3068	1688.987	0.236	0.237	12	5
YDR477W	SNF1	5.1128	2541.373	0.252	0.252	12	6
YDR478W	SNM1	1.4056	196.930	0.277	0.324	9	2
YDR479C	PEX29	3.3009	1016.308	0.240	0.292	12	2
YDR480W	DIG2	1.8881	512.784	0.260	0.310	11	3
YDR481C	PHO8	8.3691	2515.599	0.249	0.209	13	7
YDR482C	CWC21	3.0923	875.483	0.206	0.221	11	3
YDR483W	KRE2	16.2964	8193.799	0.247	0.226	13	8
YDR484W	VPS52	1.9822	1097.290	0.253	0.216	11	5
YDR485C	VPS72	1.6646	330.769	0.293	0.280	11	5
YDR486C	VPS60	4.4295	1956.846	0.234	0.214	13	4
YDR487C	RIB3	10.6973	8155.945	0.256	0.215	12	9
YDR488C	PAC11	1.2210	261.087	0.235	0.295	12	1
YDR489W	SLD5	2.1245	378.075	0.303	0.356	12	2
YDR490C	PKH1	2.0095	411.490	0.260	0.336	11	5
YDR492W	IZH1	4.8508	727.334	0.300	0.350	12	2
YDR493W	MZM1	2.3067	453.729	0.225	0.309	12	3
YDR494W	RSM28	3.0492	604.610	0.258	0.340	11	2
YDR495C	VPS3	1.0467	371.524	0.305	0.276	9	3
YDR496C	PUF6	8.3397	11044.589	0.275	0.229	12	7
YDR497C	ITR1	14.0086	7004.940	0.264	0.269	13	5
YDR498C	SEC20	3.8179	1743.177	0.249	0.273	12	3
YDR499W	LCD1	1.8388	405.685	0.249	0.289	11	4
YDR500C	RPL37B	58.9969	52926.732	0.259	0.236	13	6
YDR501W	PLM2	0.8366	67.486	0.297	0.417	9	0
YDR502C	SAM2	14.1228	27129.716	0.231	0.244	13	9
YDR503C	LPP1	2.0560	531.035	0.281	0.260	12	4
YDR504C	SPG3	2.9574	354.273	0.273	0.376	11	1
YDR505C	PSP1	2.7637	871.145	0.244	0.235	11	5
YDR506C	GMC1	1.3874	234.788	0.265	0.317	12	1
YDR507C	GIN4	4.1301	1796.622	0.257	0.260	11	5
YDR508C	GNP1	14.8320	20203.791	0.263	0.284	13	5
YDR510W	SMT3	25.1592	16974.093	0.246	0.225	12	7
YDR511W	SDH7	2.7256	536.647	0.291	0.324	11	4
YDR512C	EMI1	2.8742	570.309	0.306	0.372	10	2
YDR513W	GRX2	8.7038	4731.240	0.252	0.244	11	7
YDR514C		2.3309	340.631	0.257	0.308	12	3
YDR515W	SLF1	1.9828	1200.498	0.232	0.248	11	7
YDR516C	EMI2	6.7990	3357.850	0.257	0.224	13	8
YDR517W	GRH1	7.0371	4064.066	0.247	0.241	13	6
YDR518W	EUG1	4.4172	1179.221	0.251	0.328	12	5
YDR519W	FPR2	7.6138	2638.145	0.235	0.254	12	6
YDR520C	URC2	1.8095	475.714	0.287	0.331	13	2
YDR522C	SPS2	0.4947	70.282	0.285	0.367	8	1
YDR523C	SPS1	0.5430	44.523	0.293	0.429	8	0
YDR524C	AGE1	2.9030	900.540	0.277	0.224	11	4
YDR524C-B		2.7858	326.626	0.295	0.389	4	0
YDR524W-C		0.9058	85.871	0.319	0.405	4	0
YDR525W-A	SNA2	6.4687	7520.076	0.282	0.247	8	2
YDR527W	RBA50	4.3807	1565.964	0.224	0.201	12	4
YDR528W	HLR1	2.4584	514.745	0.212	0.222	11	2
YDR529C	QCR7	16.1639	13165.634	0.244	0.245	13	8
YDR530C	APA2	2.6588	948.058	0.253	0.282	12	5
YDR531W	CAB1	5.3142	1922.854	0.267	0.204	11	4
YDR532C	KRE28	1.3523	291.514	0.288	0.276	8	3
YDR533C	HSP31	3.8449	1055.736	0.265	0.293	11	6
YDR534C	FIT1	1.2326	135.103	0.241	0.400	11	0
YDR536W	STL1	0.3867	29.320	0.297	0.388	9	0
YDR538W	PAD1	2.6153	678.293	0.277	0.314	11	3
YDR539W	FDC1	2.7723	1031.860	0.239	0.217	12	6
YDR540C	IRC4	0.9529	142.778	0.248	0.324	9	2
YDR541C		2.0168	265.557	0.274	0.344	13	2
YDR542W	PAU10	0.8672	82.385	0.365	0.412	6	0
YDR545W	YRF1-1	0.8427	74.063	0.303	0.449	5	0
YEL001C	IRC22	12.9238	9889.541	0.225	0.238	11	5
YEL002C	WBP1	12.3415	12824.030	0.287	0.241	12	6
YEL003W	GIM4	5.8806	2064.500	0.243	0.240	9	5
YEL004W	YEA4	1.3005	179.729	0.300	0.415	10	1
YEL005C	VAB2	1.0202	95.454	0.286	0.406	9	0
YEL006W	YEA6	3.2027	850.310	0.261	0.260	10	3
YEL007W	MIT1	4.4865	2556.502	0.253	0.232	9	5
YEL009C	GCN4	26.7317	4577.312	0.264	0.372	12	2
YEL011W	GLC3	3.1868	1194.406	0.259	0.311	12	6
YEL012W	UBC8	2.8978	1082.370	0.209	0.246	11	5
YEL013W	VAC8	6.7986	6200.575	0.251	0.236	12	7
YEL015W	EDC3	5.2696	2693.605	0.261	0.238	10	7
YEL016C	NPP2	1.4916	149.780	0.328	0.453	9	0
YEL017C-A	PMP2	34.3185	43170.432	0.276	0.217	9	2
YEL017W	GTT3	3.5722	1055.865	0.260	0.296	10	3
YEL018W	EAF5	3.3512	743.755	0.233	0.277	11	3
YEL019C	MMS21	1.0676	617.763	0.272	0.265	7	3
YEL020C		1.6127	230.476	0.261	0.359	10	2
YEL020W-A	TIM9	2.1094	380.033	0.296	0.406	5	2
YEL021W	URA3	1.7324	393.803	0.297	0.393	8	4
YEL022W	GEA2	5.2500	4104.730	0.290	0.218	10	6
YEL023C		0.8526	94.069	0.284	0.447	9	0
YEL024W	RIP1	4.4657	2065.979	0.275	0.237	11	7
YEL025C		1.7284	200.716	0.306	0.428	10	1
YEL026W	SNU13	15.0775	5678.296	0.306	0.365	9	7
YEL027W	VMA3	27.1067	21380.756	0.241	0.245	10	5
YEL029C	BUD16	2.1194	366.246	0.232	0.368	11	2
YEL030W	ECM10	1.2757	309.404	0.284	0.362	9	4
YEL031W	SPF1	8.8631	9844.758	0.254	0.222	10	8
YEL032W	MCM3	4.2081	4389.742	0.239	0.259	9	7
YEL033W	MTC7	6.4285	828.518	0.247	0.333	9	0
YEL034W	HYP2	36.2445	15332.459	0.256	0.412	10	6
YEL035C	UTR5	0.4280	33.717	0.367	0.433	7	0
YEL036C	ANP1	7.5326	2761.451	0.262	0.250	12	4
YEL037C	RAD23	8.6259	3619.034	0.238	0.231	11	8
YEL038W	UTR4	5.8688	2235.468	0.250	0.210	12	5
YEL039C	CYC7	2.0532	668.844	0.224	0.286	9	4
YEL040W	UTR2	24.6019	11413.794	0.233	0.275	12	3
YEL041W	YEF1	0.6993	116.178	0.274	0.271	6	2
YEL042W	GDA1	7.1813	3220.928	0.235	0.226	12	8
YEL043W		3.5259	905.848	0.253	0.228	10	4
YEL044W	IES6	6.1637	1773.465	0.249	0.307	10	4
YEL046C	GLY1	25.2592	70276.980	0.252	0.248	12	8
YEL047C	FRD1	7.1109	9543.761	0.249	0.235	11	10
YEL048C	TCA17	1.8589	1096.889	0.287	0.246	9	4
YEL049W	PAU2	0.6865	59.589	0.323	0.452	9	0
YEL050C	RML2	3.4770	989.344	0.237	0.300	10	4
YEL051W	VMA8	13.4922	12474.688	0.242	0.195	11	8
YEL052W	AFG1	3.9405	1862.722	0.268	0.233	10	4
YEL053C	MAK10	2.0703	605.736	0.310	0.283	10	3
YEL054C	RPL12A	44.9510	39751.656	0.228	0.221	12	5
YEL055C	POL5	4.0537	2633.881	0.286	0.233	9	7
YEL056W	HAT2	4.6320	1253.806	0.285	0.361	11	4
YEL057C		0.6924	51.564	0.293	0.442	9	0
YEL058W	PCM1	7.4767	3550.583	0.279	0.234	11	7
YEL059C-A	SOM1	1.6686	334.209	0.292	0.308	8	2
YEL060C	PRB1	7.6523	4569.399	0.293	0.218	12	8
YEL061C	CIN8	1.5440	291.544	0.275	0.306	9	3
YEL062W	NPR2	1.1750	237.884	0.257	0.297	10	3
YEL063C	CAN1	5.0033	3970.623	0.252	0.265	12	3
YEL064C	AVT2	1.1148	107.382	0.268	0.381	10	0
YEL065W	SIT1	4.7999	1534.910	0.255	0.271	10	2
YEL066W	HPA3	2.9134	1323.051	0.229	0.210	10	4
YEL067C		0.8596	94.912	0.275	0.431	8	1
YEL069C	HXT13	0.2475	14.710	0.333	0.510	7	0
YEL070W	DSF1	0.5027	50.992	0.246	0.327	8	1
YEL071W	DLD3	14.5190	20294.597	0.265	0.222	12	10
YEL072W	RMD6	1.1533	118.293	0.289	0.410	10	0
YEL073C		0.8076	70.536	0.260	0.426	10	0
YEL075C		0.2445	14.112	0.353	0.415	4	0
YEL076C		0.1894	9.860	0.326	0.429	4	0
YEL076C-A		0.1781	8.909	0.350	0.463	3	0
YEL077C		1.7590	189.108	0.260	0.369	10	0
YER001W	MNN1	3.2276	1517.337	0.255	0.245	8	4
YER002W	NOP16	7.2524	4518.919	0.240	0.223	10	5
YER003C	PMI40	10.8261	9523.110	0.222	0.214	12	8
YER004W	FMP52	7.5239	2990.985	0.249	0.237	12	6
YER005W	YND1	2.4612	495.652	0.268	0.322	9	3
YER006W	NUG1	10.7937	9421.433	0.246	0.234	10	6
YER007C-A	TMA20	9.0274	7040.780	0.240	0.223	11	8
YER007W	PAC2	1.4513	432.375	0.256	0.337	10	3
YER008C	SEC3	3.0770	1372.037	0.223	0.224	11	6
YER009W	NTF2	22.1853	6981.063	0.274	0.390	12	6
YER010C		3.2205	782.604	0.266	0.301	11	4
YER011W	TIR1	8.4257	1888.161	0.250	0.259	12	2
YER012W	PRE1	13.9841	8933.144	0.283	0.296	12	7
YER013W	PRP22	1.6222	456.250	0.295	0.297	10	4
YER014C-A	BUD25	0.2392	14.816	0.315	0.431	2	0
YER014W	HEM14	2.8284	1265.342	0.267	0.310	9	4
YER015W	FAA2	1.0113	196.102	0.250	0.347	10	3
YER016W	BIM1	4.1179	1437.411	0.243	0.214	11	4
YER017C	AFG3	3.9627	2115.233	0.260	0.238	10	6
YER018C	SPC25	2.1291	1130.707	0.256	0.216	9	3
YER019C-A	SBH2	8.2943	2909.043	0.243	0.221	9	4
YER019W	ISC1	3.9585	1216.533	0.266	0.263	10	4
YER020W	GPA2	5.2004	3129.165	0.257	0.218	12	7
YER021W	RPN3	12.0085	6619.626	0.217	0.275	13	6
YER022W	SRB4	3.6368	2095.812	0.223	0.237	10	5
YER023W	PRO3	13.3804	14472.147	0.274	0.235	12	9
YER024W	YAT2	1.4891	333.811	0.261	0.316	12	4
YER025W	GCD11	16.2762	11217.184	0.271	0.313	12	8
YER026C	CHO1	6.0383	1412.265	0.275	0.431	11	2
YER027C	GAL83	5.7014	3026.871	0.242	0.220	12	7
YER028C	MIG3	1.2998	133.139	0.284	0.406	11	0
YER029C	SMB1	3.6193	1524.035	0.253	0.213	10	6
YER030W	CHZ1	6.8528	2448.786	0.270	0.237	10	6
YER031C	YPT31	10.9877	7967.092	0.280	0.253	12	5
YER032W	FIR1	2.0698	296.547	0.254	0.323	11	1
YER033C	ZRG8	0.9935	164.266	0.281	0.340	9	3
YER034W		2.8104	1458.094	0.249	0.229	11	6
YER035W	EDC2	4.4934	1553.474	0.256	0.224	11	2
YER036C	ARB1	20.2058	28229.659	0.237	0.207	12	8
YER037W	PHM8	2.5569	335.297	0.246	0.325	10	3
YER038C	KRE29	0.8001	70.659	0.305	0.438	9	0
YER039C	HVG1	0.8449	76.746	0.305	0.398	9	0
YER039C-A		1.7594	193.000	0.268	0.350	7	2
YER040W	GLN3	1.7168	368.372	0.278	0.337	10	3
YER041W	YEN1	1.7702	269.082	0.278	0.292	10	3
YER042W	MXR1	5.0387	3022.158	0.261	0.203	10	7
YER043C	SAH1	41.0814	73838.846	0.264	0.232	12	8
YER044C	ERG28	6.4768	1290.150	0.237	0.260	11	5
YER044C-A	MEI4	0.2741	14.206	0.379	0.494	5	0
YER045C	ACA1	2.5012	268.796	0.272	0.312	11	0
YER046W	SPO73	1.5584	164.667	0.284	0.365	9	0
YER047C	SAP1	1.3394	293.465	0.259	0.322	9	5
YER048C	CAJ1	7.1276	2391.982	0.273	0.362	11	5
