# scer_aggregation_psup_long.txt 
# Generated:  Tue Feb 19 18:22:52 2019 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
# 
orf	gene	experiment	n.detections	n.peptides	intensity.t	intensity.s	intensity.p	psup	psup.lo	psup.hi
YGL001C	ERG26	46C.4min	2	3	32204400	15536790	59567700	0.1822	0.0755	0.4026
YGL001C	ERG26	46C.8min	1	2	856690	526620	2580400	0.1789	0.0538	0.447
YGL003C	CDH1	42C.8min	1	1	107080	161130	20890	0.8428	0.3209	0.9855
YGL003C	CDH1	46C.4min	1	1	34774999.9999999	3926800	1340300	0.6749	0.2432	0.9378
YGL004C	RPN14	30C.rep1	1	2	5336000	7616500	251550	0.932	0.7193	0.9865
YGL004C	RPN14	37C.8min	1	1	4229700	1504500	192970	0.8903	0.28	0.9946
YGL004C	RPN14	46C.4min	1	2	4301400	1954400	672500	0.6998	0.3135	0.9239
YGL005C	COG7	30C.rep1	1	1	2427700	3868500	812140	0.7205	0.3336	0.9299
YGL005C	COG7	30C.rep2	1	1	499590	257430	139130	0.6359	0.2327	0.9116
YGL005C	COG7	42C.8min	2	2	2138670	3513200	649400	0.7435	0.3631	0.946
YGL005C	COG7	46C.2min	5	3	8742060	6212400	1863925	0.6304	0.3774	0.833
YGL005C	COG7	46C.4min	2	1	13659000	6076100	6027100	0.4454	0.2037	0.7204
YGL006W	PMC1	30C.rep1	2	4	11675200	1386400	13689400	0.0635	0.023	0.1584
YGL006W	PMC1	46C.4min	4	4	23844900	6588695	19569500	0.0625	0.0302	0.1252
YGL006W	PMC1	46C.8min	1	1	244010	152610	12573000	0.0452	0.0133	0.1502
YGL007C-A	YGL007C-A	46C.4min	1	1	1859300	2029400	38173000	0.1041	0.0296	0.3165
YGL008C	PMA1	30C.rep1	184	30	5484915514	1235447887	10230101001	0.0926	0.0831	0.1022
YGL008C	PMA1	30C.rep2	63	23	2727591663	1967205951	13147320300	0.1594	0.1342	0.1887
YGL008C	PMA1	30C.rep3	44	17	95232124	27962723	109874056.4	0.1758	0.1255	0.2385
YGL008C	PMA1	37C.8min	78	22	1641805160	300871750	2336632566	0.143	0.1127	0.1825
YGL008C	PMA1	42C.8min	47	20	926636678	212902221.5	1012297726	0.0941	0.0689	0.1251
YGL008C	PMA1	46C.2min	115	25	13474477170	1584578232.1	5675090826	0.0671	0.0564	0.0804
YGL008C	PMA1	46C.4min	209	31	15492286900	2073035087.7	18734041950	0.0779	0.0707	0.0856
YGL008C	PMA1	46C.8min	106	24	1350162901.5	658784135.9	4271011740	0.1222	0.1088	0.1381
YGL009C	LEU1	30C.rep1	77	34	1210786250	2270207800	262646643	0.8968	0.8763	0.9137
YGL009C	LEU1	30C.rep2	40	22	1709376470	1957698640	325971102	0.8768	0.8428	0.9058
YGL009C	LEU1	30C.rep3	29	13	130878480	132211690	10999217	0.9295	0.8718	0.9636
YGL009C	LEU1	37C.8min	31	18	761951550	495942190	81672946	0.8997	0.83	0.9428
YGL009C	LEU1	42C.8min	32	15	325288405	270191292	55117376.6	0.8433	0.7639	0.8992
YGL009C	LEU1	46C.2min	43	22	2044175700	1731543540	193271450	0.8816	0.8297	0.9185
YGL009C	LEU1	46C.4min	77	29	2429826270	2095524210	780891787	0.7502	0.7111	0.7842
YGL009C	LEU1	46C.8min	36	21	156745280	378849200	158258040	0.6848	0.6324	0.7339
YGL011C	SCL1	30C.rep1	22	13	174171720	268650900	29834038	0.8921	0.8499	0.9218
YGL011C	SCL1	30C.rep2	6	4	292877000	251949000	66680400	0.8878	0.7896	0.9427
YGL011C	SCL1	30C.rep3	13	7	50288500	35630160	6820942	0.8757	0.7396	0.9503
YGL011C	SCL1	37C.8min	13	8	309056690	71517265	35465766	0.6651	0.4705	0.8302
YGL011C	SCL1	42C.8min	14	9	344262560	216580631	25671955	0.7923	0.6321	0.8989
YGL011C	SCL1	46C.2min	8	7	255949770	243985320	72981380	0.6442	0.4331	0.8244
YGL011C	SCL1	46C.4min	23	13	371872300	370252900	83949850	0.8154	0.7558	0.864
YGL011C	SCL1	46C.8min	11	9	19345750	54450440	12509150	0.788	0.7071	0.8487
YGL012W	ERG4	46C.2min	2	2	8511700	1086670	2333000.6	0.4017	0.097	0.884
YGL012W	ERG4	46C.4min	1	1	20667000	1227900	24681000	0.0317	0.0078	0.1271
YGL012W	ERG4	46C.8min	3	2	1401352	285646	4829390	0.0733	0.0365	0.1453
YGL013C	PDR1	30C.rep1	1	1	20194000	16125000	4118000	0.6603	0.2868	0.9106
YGL013C	PDR1	42C.8min	1	1	264250	715410	221600	0.7431	0.2661	0.9689
YGL013C	PDR1	46C.2min	2	1	3908200	3222300	387660	0.8078	0.4375	0.961
YGL013C	PDR1	46C.4min	1	1	6131100	1096000	1096500	0.3778	0.1134	0.7899
YGL014W	PUF4	30C.rep1	5	3	23468040	48657800	10576306	0.8026	0.6565	0.8986
YGL014W	PUF4	30C.rep2	2	1	152710	267990	277630	0.5234	0.2648	0.7649
YGL014W	PUF4	30C.rep3	1	2	302280	220540	150020	0.7965	0.3469	0.9801
YGL014W	PUF4	37C.8min	2	1	1166050	839060	118613	0.9134	0.5685	0.9897
YGL014W	PUF4	46C.2min	1	1	23558000	10050000	2899800	0.5859	0.1399	0.9431
YGL014W	PUF4	46C.4min	4	4	123155500	39220800	18127500	0.5688	0.3597	0.7577
YGL014W	PUF4	46C.8min	1	1	1283000	1558500	3221000	0.3308	0.1233	0.6504
YGL016W	KAP122	30C.rep1	9	7	40890070	63770670	6357200	0.8494	0.7573	0.9091
YGL016W	KAP122	30C.rep3	1	1	473080	1106500	813870	0.7292	0.2132	0.9742
YGL016W	KAP122	42C.8min	0	1	NA	NA	NA	0.818	0.1169	0.9998
YGL016W	KAP122	46C.4min	3	2	14341700	12679900	3913110	0.8081	0.6093	0.9169
YGL017W	ATE1	30C.rep1	3	3	2113650	5423900	709069	0.8867	0.7484	0.9531
YGL017W	ATE1	30C.rep3	0	1	NA	NA	NA	0.8539	0.1007	1
YGL017W	ATE1	37C.8min	2	2	1289320	15185921	12110615	0.551	0.2021	0.8729
YGL017W	ATE1	42C.8min	1	1	156390	1473900	2055600	0.613	0.1933	0.9234
YGL017W	ATE1	46C.4min	2	2	4826490	3372990	1023474	0.8155	0.564	0.936
YGL019W	CKB1	30C.rep1	2	1	1975480	3792500	1057530	0.6697	0.3935	0.8713
YGL019W	CKB1	30C.rep2	2	2	22135700	20666300	16109750	0.5191	0.2457	0.7863
YGL019W	CKB1	37C.8min	2	2	2410300	250424	428900	0.0712	0.0134	0.3039
YGL019W	CKB1	42C.8min	1	2	1208200	1027000	749730	0.3265	0.074	0.8195
YGL019W	CKB1	46C.2min	1	1	15887000	15978000	1732700	0.7978	0.2931	0.9797
YGL019W	CKB1	46C.4min	2	2	13204400	7206980	5719900	0.5655	0.2805	0.8082
YGL019W	CKB1	46C.8min	1	1	96969	129550	205360	0.3842	0.1427	0.7188
YGL020C	GET1	30C.rep1	1	3	628260	59770	640560	0.0623	0.0161	0.2191
YGL020C	GET1	30C.rep2	1	1	143840	18236	36081	0.2532	0.0593	0.6839
YGL020C	GET1	37C.8min	1	1	664600	100040	243020	0.2137	0.0256	0.8054
YGL020C	GET1	42C.8min	3	2	1500175	619676	427319	0.4245	0.1577	0.7502
YGL020C	GET1	46C.2min	1	1	2507900	344630	748040	0.1348	0.0205	0.5927
YGL020C	GET1	46C.4min	2	1	10557100	315830	16650900	0.0081	0.003	0.0212
YGL020C	GET1	46C.8min	1	1	24373	8902.3	97543.9999999999	0.1074	0.0301	0.3229
YGL021W	ALK1	37C.8min	1	1	10337000	204660	651790	0.0241	0.0027	0.2215
YGL022W	STT3	30C.rep1	8	10	52536600	3789370	61252300	0.0364	0.022	0.0607
YGL022W	STT3	30C.rep2	0	1	NA	NA	NA	0.0482	0	0.5536
YGL022W	STT3	37C.8min	2	2	2693170	363615	2489100	0.0374	0.0078	0.1719
YGL022W	STT3	46C.2min	4	2	153071600	9184270	55366660	0.0414	0.0162	0.1076
YGL022W	STT3	46C.4min	11	9	186152300	13889243	148179200	0.0302	0.0205	0.0459
YGL022W	STT3	46C.8min	5	3	3644540	690249	9477610	0.079	0.0459	0.1347
YGL023C	PIB2	30C.rep2	1	1	191030000	205220000	42165000	0.8305	0.4765	0.9648
YGL023C	PIB2	37C.8min	1	1	481230	25254	24756	0.1441	0.0153	0.7448
YGL023C	PIB2	46C.2min	1	1	483010	67570	160880	0.1298	0.0212	0.5621
YGL023C	PIB2	46C.4min	4	3	5794030	3879066	1932232	0.4696	0.2647	0.6858
YGL025C	PGD1	30C.rep1	0	1	NA	NA	NA	0.8136	0.2438	0.9993
YGL025C	PGD1	46C.4min	1	1	4687000	4936300	865940	0.832	0.5154	0.9598
YGL026C	TRP5	30C.rep1	75	32	1022817904	1923984760	129819915	0.9107	0.8915	0.9252
YGL026C	TRP5	30C.rep2	23	14	504837490	849243310	153184010	0.862	0.8142	0.9007
YGL026C	TRP5	30C.rep3	36	17	91989660	117687580	14208341	0.9201	0.8679	0.9537
YGL026C	TRP5	37C.8min	42	20	571822094.4	475957040	83449106	0.9243	0.8772	0.9532
YGL026C	TRP5	42C.8min	20	14	265243840	249547930	20929180.3	0.9025	0.8305	0.9471
YGL026C	TRP5	46C.2min	38	28	1903115150	2111988940	2010656237	0.8245	0.7564	0.8779
YGL026C	TRP5	46C.4min	80	31	2145047890	1824430900	395944110	0.8493	0.822	0.8726
YGL026C	TRP5	46C.8min	41	23	124935624	361447084	94458709.6	0.8183	0.7831	0.8497
YGL027C	CWH41	30C.rep1	9	8	40868510	49762020	21781010	0.612	0.4711	0.7375
YGL027C	CWH41	30C.rep3	6	5	3386123	2380899	881047	0.6909	0.4202	0.8901
YGL027C	CWH41	37C.8min	2	2	4829670	3659640	802180	0.8129	0.3783	0.9736
YGL027C	CWH41	42C.8min	1	1	1186000	556910	244840	0.579	0.1115	0.9505
YGL027C	CWH41	46C.2min	1	1	3306600	1161400	200420	0.6911	0.174	0.9675
YGL027C	CWH41	46C.4min	6	5	95436300	43658900	39793600	0.4833	0.3161	0.6573
YGL027C	CWH41	46C.8min	3	3	3262520	8263200	4471830	0.6096	0.4042	0.7849
YGL030W	RPL30	30C.rep1	46	6	2102885391	3112958763	478708093	0.7873	0.7386	0.826
YGL030W	RPL30	30C.rep2	33	5	4072688243	3952775100	773631259	0.8553	0.8106	0.892
YGL030W	RPL30	30C.rep3	31	4	170219950	90367707	11298494	0.777	0.65	0.871
YGL030W	RPL30	37C.8min	44	6	3524301322	1528219461	264861185.8	0.7987	0.707	0.8745
YGL030W	RPL30	42C.8min	40	6	3280142800	1870824818	203772283	0.8252	0.7514	0.8846
YGL030W	RPL30	46C.2min	35	6	3206795360	1983235410	263379231	0.817	0.7351	0.8755
YGL030W	RPL30	46C.4min	75	5	5623634950	4922016210	925587456	0.8373	0.8074	0.8622
YGL030W	RPL30	46C.8min	32	6	452639138.7	1037687490	167711423	0.8227	0.7805	0.8558
YGL031C	RPL24A	30C.rep1	31	6	678947800	791101090	480887810	0.5271	0.4517	0.6042
YGL031C	RPL24A	30C.rep2	11	6	4030933500	935696580	2638199800	0.2223	0.1497	0.3204
YGL031C	RPL24A	30C.rep3	16	3	157775730	65464475	15329579.2	0.6748	0.4921	0.8233
YGL031C	RPL24A	37C.8min	15	4	2284644300	691021500	260818000	0.6579	0.4756	0.8215
YGL031C	RPL24A	42C.8min	14	4	554334120	262172740	207217849	0.6227	0.4543	0.7738
YGL031C	RPL24A	46C.2min	14	5	5970652399.99999	3906746200	827271440	0.6976	0.5339	0.8203
YGL031C	RPL24A	46C.4min	36	6	2650829735	2051701620	1052997975	0.6669	0.5985	0.7267
YGL031C	RPL24A	46C.8min	16	5	184422960	411672620	155425800	0.7493	0.6732	0.8085
YGL035C	MIG1	37C.8min	1	1	1637100	863660	376790	0.7486	0.1713	0.9814
YGL035C	MIG1	46C.4min	2	2	1984910	1626990	284726	0.8107	0.5596	0.9335
YGL035C	MIG1	46C.8min	1	1	1093000	4206200	886630	0.7692	0.4594	0.9298
YGL037C	PNC1	30C.rep1	15	7	107092625	207580930	32265851	0.8953	0.848	0.9298
YGL037C	PNC1	30C.rep2	7	3	384660700	282408700	37908740	0.9069	0.8331	0.9507
YGL037C	PNC1	30C.rep3	7	4	68589260	48514170	1465881	0.9773	0.917	0.9942
YGL037C	PNC1	37C.8min	8	5	340007400	170871950	19326270	0.7353	0.4715	0.9082
YGL037C	PNC1	42C.8min	2	3	317802000	231196000	15027000	0.8978	0.588	0.9848
YGL037C	PNC1	46C.2min	6	4	320129500	302176170	25905040	0.7911	0.5897	0.9095
YGL037C	PNC1	46C.4min	16	6	236845950	242323300	51669940	0.817	0.7451	0.8728
YGL037C	PNC1	46C.8min	6	3	28810520	70074000	19858900	0.7802	0.6649	0.8667
YGL038C	OCH1	30C.rep1	4	2	955960	429056	1654580	0.1448	0.0745	0.2682
YGL038C	OCH1	30C.rep2	1	1	221210	40485	249290	0.1213	0.027	0.4201
YGL038C	OCH1	42C.8min	2	1	3963900	486890	3221800	0.0665	0.0157	0.2595
YGL038C	OCH1	46C.2min	5	3	11196400	2481070	10111900	0.091	0.0407	0.2006
YGL038C	OCH1	46C.4min	1	1	2829000	908610	2915700	0.2084	0.0602	0.5317
YGL038C	OCH1	46C.8min	1	1	2504700	13853000	736060	0.9162	0.7446	0.9761
YGL039W	YGL039W	30C.rep1	6	3	25730010	48761900	50081060	0.7627	0.614	0.8713
YGL039W	YGL039W	30C.rep3	2	1	1642170	1403010	371890	0.7588	0.3169	0.966
YGL039W	YGL039W	37C.8min	1	1	10786000	6498800	1452800	0.8452	0.3093	0.9907
YGL039W	YGL039W	42C.8min	2	2	3179800	1210630	810230	0.4836	0.1372	0.8721
YGL039W	YGL039W	46C.4min	7	4	85508700	30902200	42144900	0.3391	0.2204	0.4879
YGL040C	HEM2	30C.rep1	12	7	111473476	157897860	6469383	0.9089	0.8584	0.9426
YGL040C	HEM2	30C.rep2	6	5	104968860	94571050	10582782	0.9501	0.8982	0.976
YGL040C	HEM2	30C.rep3	2	2	6210390	4350020	154163	0.9515	0.6437	0.9964
YGL040C	HEM2	37C.8min	9	5	77152890	24512690	11026119.4	0.8841	0.6866	0.9651
YGL040C	HEM2	42C.8min	9	6	227261100	84905300	37245539	0.8057	0.6167	0.9202
YGL040C	HEM2	46C.2min	12	7	162844900	133653600	11912440	0.8859	0.7854	0.9424
YGL040C	HEM2	46C.4min	11	6	263493200	174065000	20414740	0.926	0.8786	0.9562
YGL040C	HEM2	46C.8min	3	2	12131417	36881230	7706970	0.7473	0.5685	0.8625
YGL043W	DST1	30C.rep1	5	5	11443440	36982790	7961452	0.7107	0.5405	0.842
YGL043W	DST1	30C.rep2	5	3	3426150	2607960	468211	0.8657	0.7331	0.9354
YGL043W	DST1	30C.rep3	2	2	6632070	3212879	117608	0.8914	0.4737	0.9903
YGL043W	DST1	37C.8min	1	2	16545000	5791600	1138100	0.6586	0.1508	0.9792
YGL043W	DST1	42C.8min	5	4	25278900	13268240	2238230	0.7827	0.5058	0.9313
YGL043W	DST1	46C.2min	9	3	30393650	29566440	4933502	0.7626	0.5761	0.8833
YGL043W	DST1	46C.4min	6	5	74694900	44350600	19011800	0.6593	0.493	0.8023
YGL043W	DST1	46C.8min	1	1	830670	849430	1521500	0.3569	0.1294	0.6855
YGL044C	RNA15	30C.rep1	2	3	4853200	6854300	1711530	0.6763	0.4097	0.8726
YGL044C	RNA15	30C.rep2	2	2	5784930	4115590	3021468	0.7549	0.4786	0.9119
YGL044C	RNA15	37C.8min	1	1	2342400	711390	148610	0.8061	0.2011	0.991
YGL044C	RNA15	42C.8min	1	1	6122100	3128200	1366500	0.5754	0.1151	0.9514
YGL044C	RNA15	46C.2min	2	3	3549630	2223610	1142020	0.5042	0.2139	0.8264
YGL044C	RNA15	46C.4min	3	3	17129100	5481560	6193100	0.4701	0.2591	0.7066
YGL047W	ALG13	30C.rep1	1	1	419490	519050	1000100	0.3249	0.0955	0.6991
YGL047W	ALG13	30C.rep2	1	1	3073700	793810	1704200	0.2759	0.0728	0.6608
YGL047W	ALG13	46C.4min	1	1	4720200	1568700	1833000	0.3849	0.1203	0.7667
YGL048C	RPT6	30C.rep1	24	15	148560450	251533300	41853910	0.7981	0.7362	0.8496
YGL048C	RPT6	30C.rep2	6	5	201264700	124968900	52264680	0.7183	0.5477	0.8487
YGL048C	RPT6	30C.rep3	8	5	8248020	7063925	490434	0.9185	0.7508	0.9789
YGL048C	RPT6	37C.8min	10	7	88704399.9999999	44535660	10776244	0.8682	0.6937	0.9537
YGL048C	RPT6	42C.8min	5	2	12444540	4977000	1454100	0.7294	0.449	0.9096
YGL048C	RPT6	46C.2min	5	5	153789100	140999100	9315390	0.8644	0.6665	0.9491
YGL048C	RPT6	46C.4min	16	10	225629100	197037500	81314800	0.7238	0.6317	0.8005
YGL048C	RPT6	46C.8min	6	6	6178222	9070100	6530416	0.5875	0.439	0.7231
YGL049C	TIF4632	30C.rep1	8	7	11891110	24429300	4708939	0.816	0.7101	0.8911
YGL049C	TIF4632	30C.rep2	1	1	220150	481230	94205.9999999999	0.8304	0.5122	0.9612
YGL049C	TIF4632	37C.8min	2	2	3817794	2985260	1042372	0.8833	0.5648	0.9812
YGL049C	TIF4632	46C.2min	2	2	23221000	10008400	3503100	0.4141	0.1293	0.8131
YGL049C	TIF4632	46C.4min	8	6	92676600	69511807.9999999	42817086	0.5976	0.4567	0.7286
YGL049C	TIF4632	46C.8min	3	3	1247003	1603760	1577280	0.4875	0.2916	0.6878
YGL050W	TYW3	30C.rep1	4	3	9431640	15167300	34381939	0.6338	0.4137	0.8104
YGL050W	TYW3	37C.8min	1	2	6683100	1633600	626140	0.775	0.2724	0.983
YGL050W	TYW3	42C.8min	1	1	176570	500790	24556	0.931	0.5661	0.9946
YGL050W	TYW3	46C.4min	4	3	31135200	25898900	3749760	0.8736	0.7405	0.943
YGL050W	TYW3	46C.8min	1	1	299330	884540	117920	0.8435	0.5662	0.9562
YGL054C	ERV14	30C.rep1	2	1	56600900	11515020	77108200	0.0956	0.0362	0.237
YGL054C	ERV14	30C.rep2	1	1	13898000	6614500	30212000	0.1933	0.0501	0.5638
YGL054C	ERV14	30C.rep3	1	1	1524700	225010	689219.999999999	0.1404	0.0136	0.7156
YGL054C	ERV14	37C.8min	3	1	17515500	8405370	10884650	0.1745	0.0561	0.4621
YGL054C	ERV14	42C.8min	1	1	1734700	36924	666540	0.0115	0.0013	0.104
YGL054C	ERV14	46C.4min	4	1	189516800	20640370	124775200	0.0972	0.0501	0.1873
YGL054C	ERV14	46C.8min	2	1	5187000	3057700	19713000	0.1602	0.0699	0.3323
YGL055W	OLE1	30C.rep1	8	6	270326890	336502379.999999	100223800	0.0921	0.0558	0.1482
YGL055W	OLE1	37C.8min	1	1	1812300	432820	2761200	0.1915	0.0225	0.739
YGL055W	OLE1	46C.2min	1	1	3561100	378450	1998500	0.0748	0.0132	0.3722
YGL055W	OLE1	46C.4min	8	5	159154300	25895640	154963200	0.0645	0.0398	0.1049
YGL055W	OLE1	46C.8min	1	1	23803000	1883100	23418000	0.0579	0.0177	0.1857
YGL056C	SDS23	30C.rep1	1	2	4653500	7201200	442150	0.905	0.6764	0.9801
YGL056C	SDS23	30C.rep3	1	2	410050	208790	6747.4	0.9268	0.3809	0.9982
YGL056C	SDS23	46C.4min	2	2	20579000	14938900	1254030	0.9471	0.8447	0.9838
YGL056C	SDS23	46C.8min	1	1	176970	969140	160850	0.7927	0.5056	0.9324
YGL060W	YBP2	30C.rep1	4	4	27472000	38916400	3528547	0.889	0.7511	0.9543
YGL060W	YBP2	37C.8min	1	1	212250	97129.9999999999	45179	0.7049	0.1815	0.9737
YGL060W	YBP2	46C.4min	3	2	22652000	3828490	14396070	0.1971	0.0948	0.38
YGL061C	DUO1	30C.rep1	1	1	5759700	3012500	371760	0.8005	0.4113	0.9596
YGL061C	DUO1	46C.4min	1	1	347380	283050	110570	0.678	0.299	0.9142
YGL061C	DUO1	46C.8min	1	1	1006500	2160500	607630	0.7421	0.4026	0.9214
YGL062W	PYC1	30C.rep1	7	7	16687978	28045670	2311300	0.8513	0.7502	0.9168
YGL062W	PYC1	30C.rep3	2	2	518650	793490	72650.3	0.9492	0.7078	0.9952
YGL062W	PYC1	42C.8min	2	2	2022210	4169910	338789	0.9054	0.6329	0.9848
YGL062W	PYC1	46C.2min	5	2	45888500	50632800	4473850	0.8791	0.7007	0.9573
YGL062W	PYC1	46C.4min	9	8	94589400	89736800	18904270	0.8446	0.7593	0.905
YGL062W	PYC1	46C.8min	2	2	909921	2166286	465396	0.8355	0.6458	0.9326
YGL064C	MRH4	30C.rep1	5	4	9627491.8	4530651	17002167	0.3759	0.232	0.5408
YGL064C	MRH4	46C.4min	3	3	3992650	1879570	11538700	0.1441	0.0671	0.2788
YGL065C	ALG2	30C.rep1	1	2	634150	42237	200990	0.0913	0.0215	0.3303
YGL065C	ALG2	46C.4min	5	5	43142800	4064690	23799920	0.0868	0.047	0.16
YGL066W	SGF73	30C.rep1	1	1	5187300	8732500	1318800	0.7667	0.4039	0.9474
YGL066W	SGF73	37C.8min	1	1	708070	261320	1789800	0.2561	0.035	0.7951
YGL066W	SGF73	46C.4min	1	1	1.2e+07	4730800	3249100	0.5283	0.1699	0.8628
YGL066W	SGF73	46C.8min	1	1	352510	501460	888360	0.3695	0.1399	0.6816
YGL067W	NPY1	30C.rep1	0	2	NA	NA	NA	0.7666	0.4271	0.946
YGL067W	NPY1	37C.8min	2	2	15164400	14573700	5169000	0.8004	0.4027	0.9679
YGL067W	NPY1	42C.8min	0	1	NA	NA	NA	0.4479	0.0321	0.999
YGL067W	NPY1	46C.4min	2	1	11841600	10980100	3297100	0.7517	0.4851	0.9092
YGL068W	MNP1	30C.rep1	7	4	141035360	189248100	100299700	0.4172	0.2795	0.5749
YGL068W	MNP1	30C.rep2	2	2	61587000	35985000	9856120	0.8568	0.6134	0.9574
YGL068W	MNP1	30C.rep3	2	2	12770670	4886540	431530	0.9058	0.4667	0.9938
YGL068W	MNP1	37C.8min	4	2	87444600	25858900	9241160	0.6918	0.3336	0.9197
YGL068W	MNP1	42C.8min	2	1	43029699.9999999	19636500	5047100	0.7496	0.3063	0.9577
YGL068W	MNP1	46C.2min	1	1	6346900	4579700	1679200	0.5823	0.1571	0.9343
YGL068W	MNP1	46C.4min	7	3	227839450	147082600	120467930	0.3886	0.2586	0.5402
YGL068W	MNP1	46C.8min	3	1	12098200	18653300	19576400	0.4694	0.2807	0.6707
YGL070C	RPB9	30C.rep1	3	2	3755530	8190300	522787	0.8946	0.7572	0.959
YGL070C	RPB9	30C.rep2	1	1	5770200	1540300	473510	0.7665	0.3398	0.954
YGL070C	RPB9	37C.8min	1	1	10892000	3433600	323390	0.9192	0.3058	0.9973
YGL070C	RPB9	42C.8min	0	1	NA	NA	NA	0.38	0.0266	0.9993
YGL070C	RPB9	46C.2min	0	1	NA	NA	NA	0.9038	0.3352	0.9999
YGL070C	RPB9	46C.4min	3	2	31466400	28697000	4765600	0.8493	0.6794	0.9381
YGL073W	HSF1	30C.rep2	1	1	123550	175520	64267	0.7222	0.3465	0.9272
YGL073W	HSF1	42C.8min	2	1	604880	741820	79330.9999	0.8767	0.5667	0.9799
YGL073W	HSF1	46C.2min	3	3	8077500	7845800	1577920	0.702	0.3848	0.9
YGL073W	HSF1	46C.4min	1	1	1163300	493630	218830	0.6375	0.255	0.908
YGL073W	HSF1	46C.8min	2	2	62750	176341	68342	0.6795	0.4469	0.8435
YGL076C	RPL7A	30C.rep1	107	15	4570213015	7892134300	950418300.9999	0.8398	0.8151	0.8621
YGL076C	RPL7A	30C.rep2	56	13	9452496430	11479359520	2155126250	0.8961	0.8712	0.9165
YGL076C	RPL7A	30C.rep3	64	13	1131726720	638849740	51225406.1	0.8642	0.8027	0.911
YGL076C	RPL7A	37C.8min	78	15	5041463780	1913023627	299959423.13	0.8973	0.8475	0.9331
YGL076C	RPL7A	42C.8min	56	14	3328651530	2050945590	236570838	0.8475	0.7832	0.8935
YGL076C	RPL7A	46C.2min	48	15	6969512790	5010802240	522122127	0.8419	0.7777	0.8876
YGL076C	RPL7A	46C.4min	88	15	6884146140	6777731870	1167837990	0.8822	0.8626	0.8998
YGL076C	RPL7A	46C.8min	44	14	766932868	2263403730	393892488	0.825	0.7919	0.8542
YGL078C	DBP3	30C.rep1	20	13	127758660	143184330	39710260	0.6917	0.6078	0.767
YGL078C	DBP3	30C.rep2	5	4	86115800	82152299.9999999	42116400	0.7198	0.5253	0.8524
YGL078C	DBP3	30C.rep3	2	2	4603110	3554470	368802	0.7749	0.3074	0.9746
YGL078C	DBP3	37C.8min	6	6	34002600	7431140	21105296	0.291	0.1277	0.5656
YGL078C	DBP3	42C.8min	3	2	17667900	6757170	5773800	0.3347	0.1167	0.6882
YGL078C	DBP3	46C.2min	2	3	21877600	10103340	5957020	0.2143	0.0619	0.5408
YGL078C	DBP3	46C.4min	22	10	405751900	104691670	367815400	0.1069	0.0801	0.1433
YGL078C	DBP3	46C.8min	6	9	6424280	3520660	21653300	0.1391	0.0869	0.217
YGL080W	MPC1	42C.8min	0	1	NA	NA	NA	0.0751	0.0044	0.5642
YGL082W	YGL082W	30C.rep1	1	1	2411900	3095000	1793700	0.5225	0.1954	0.8364
YGL082W	YGL082W	30C.rep2	1	1	7898200	2397500	4479800	0.3079	0.0827	0.7084
YGL082W	YGL082W	30C.rep3	0	1	NA	NA	NA	0.073	0.0038	0.8512
YGL082W	YGL082W	37C.8min	2	3	6135460	5818376	5371138	0.7015	0.2979	0.9458
YGL082W	YGL082W	42C.8min	0	1	NA	NA	NA	0.7592	0.0749	0.9999
YGL082W	YGL082W	46C.2min	1	1	2849000	856300	292020	0.5127	0.0915	0.9369
YGL082W	YGL082W	46C.4min	1	1	9163000	1354900	6827200	0.1203	0.0311	0.3796
YGL083W	SCY1	30C.rep1	2	2	4540100	3349800	631040	0.7585	0.4646	0.9212
YGL083W	SCY1	46C.4min	4	4	9506400	5788590	3679120	0.6326	0.4347	0.8035
YGL084C	GUP1	30C.rep1	2	1	1804380	702140	3127300	0.1529	0.0595	0.3417
YGL084C	GUP1	46C.4min	3	2	21794200	1500320	28329400	0.0375	0.0161	0.0832
YGL086W	MAD1	30C.rep1	2	3	1699780	2557800	375700	0.7819	0.5091	0.9259
YGL086W	MAD1	30C.rep3	1	2	293230	91857	89932	0.5131	0.1244	0.9197
YGL086W	MAD1	37C.8min	1	1	913870	263200	6201300	0.1269	0.0179	0.5795
YGL086W	MAD1	42C.8min	1	1	2388200	882900	646960	0.4469	0.074	0.9117
YGL086W	MAD1	46C.4min	2	2	2809700	1190480	2775610	0.2368	0.0933	0.5012
YGL086W	MAD1	46C.8min	1	1	13805000	7187300	92112.0000000001	0.9904	0.9644	0.9974
